label,epoch,step,loss,lr
r16,1,1,2.062809392809868,3.3333333333333335e-05
r16,1,5,2.107861265540123,0.0001666666666666667
r16,1,10,1.4760721921920776,0.00019795299412524945
r16,1,15,1.5754223316907883,0.00018978045395707418
r16,1,20,1.4239411354064941,0.0001758758122692791
r16,2,25,1.6561395227909088,0.00015712682150947923
r16,2,30,1.3509837090969086,0.00013473052528448201
r16,2,35,1.4459117501974106,0.00011011683219874323
r16,2,40,1.5830658227205276,8.485722224954237e-05
r16,2,45,1.3225700408220291,6.0564414488668165e-05
r16,3,50,1.2694592401385307,3.878940174523371e-05
r16,3,55,1.5079439580440521,2.092242630623016e-05
r16,3,60,1.478160947561264,8.10421883797694e-06
r16,3,65,1.3957714438438416,1.1531675671888619e-06
